2026-07-27 14:09:33,851 [INFO] Démarrage de la collecte Vigie TBM (intervalle: 60s)
2026-07-27 16:09:34,619 [INFO] OK - 1503 entités, 45419 observations mises à jour (feed ts=1785161364)
2026-07-27 16:10:34,577 [INFO] OK - 1507 entités, 45287 observations mises à jour (feed ts=1785161424)
2026-07-27 16:11:34,583 [INFO] OK - 1502 entités, 45195 observations mises à jour (feed ts=1785161484)
2026-07-27 16:12:34,547 [INFO] OK - 1496 entités, 45019 observations mises à jour (feed ts=1785161544)
2026-07-27 16:13:34,584 [INFO] OK - 1493 entités, 44925 observations mises à jour (feed ts=1785161604)
2026-07-27 16:14:34,534 [INFO] OK - 1493 entités, 44768 observations mises à jour (feed ts=1785161664)
2026-07-27 16:15:34,538 [INFO] OK - 1486 entités, 44658 observations mises à jour (feed ts=1785161724)
2026-07-27 16:16:34,541 [INFO] OK - 1498 entités, 44712 observations mises à jour (feed ts=1785161784)
2026-07-27 16:17:34,550 [INFO] OK - 1497 entités, 44555 observations mises à jour (feed ts=1785161844)
2026-07-27 16:18:34,605 [INFO] OK - 1495 entités, 44492 observations mises à jour (feed ts=1785161904)
2026-07-27 16:19:34,813 [INFO] OK - 1493 entités, 44430 observations mises à jour (feed ts=1785161964)
2026-07-27 16:20:34,648 [INFO] OK - 1506 entités, 44747 observations mises à jour (feed ts=1785162024)
2026-07-27 16:21:34,617 [INFO] OK - 1510 entités, 44812 observations mises à jour (feed ts=1785162084)
2026-07-27 16:22:34,591 [INFO] OK - 1511 entités, 44796 observations mises à jour (feed ts=1785162144)
2026-07-27 16:23:34,580 [INFO] OK - 1504 entités, 44653 observations mises à jour (feed ts=1785162204)
2026-07-27 16:24:34,622 [INFO] OK - 1498 entités, 44680 observations mises à jour (feed ts=1785162264)
2026-07-27 16:25:34,620 [INFO] OK - 1497 entités, 44663 observations mises à jour (feed ts=1785162324)
2026-07-27 16:26:34,557 [INFO] OK - 1490 entités, 44489 observations mises à jour (feed ts=1785162384)
2026-07-27 16:27:34,617 [INFO] OK - 1482 entités, 44242 observations mises à jour (feed ts=1785162444)
2026-07-27 16:28:34,567 [INFO] OK - 1484 entités, 44345 observations mises à jour (feed ts=1785162504)
2026-07-27 16:29:34,659 [INFO] OK - 1469 entités, 43990 observations mises à jour (feed ts=1785162564)
2026-07-27 16:30:34,651 [INFO] OK - 1475 entités, 44101 observations mises à jour (feed ts=1785162624)
2026-07-27 16:31:34,624 [INFO] OK - 1475 entités, 44213 observations mises à jour (feed ts=1785162684)
2026-07-27 16:32:34,611 [INFO] OK - 1469 entités, 43977 observations mises à jour (feed ts=1785162744)
2026-07-27 16:33:34,700 [INFO] OK - 1469 entités, 44022 observations mises à jour (feed ts=1785162804)
2026-07-27 16:34:34,609 [INFO] OK - 1471 entités, 44176 observations mises à jour (feed ts=1785162864)
2026-07-27 16:35:34,609 [INFO] OK - 1471 entités, 44337 observations mises à jour (feed ts=1785162924)
2026-07-27 16:36:34,550 [INFO] OK - 1468 entités, 44173 observations mises à jour (feed ts=1785162984)
2026-07-27 16:37:34,559 [INFO] OK - 1467 entités, 44147 observations mises à jour (feed ts=1785163044)
2026-07-27 16:38:34,601 [INFO] OK - 1465 entités, 44125 observations mises à jour (feed ts=1785163104)
2026-07-27 16:39:34,582 [INFO] OK - 1464 entités, 44135 observations mises à jour (feed ts=1785163164)
2026-07-27 16:40:34,585 [INFO] OK - 1459 entités, 44001 observations mises à jour (feed ts=1785163224)
2026-07-27 16:41:34,644 [INFO] OK - 1449 entités, 43773 observations mises à jour (feed ts=1785163284)
2026-07-27 16:42:34,572 [INFO] OK - 1448 entités, 43747 observations mises à jour (feed ts=1785163344)
2026-07-27 16:43:34,598 [INFO] OK - 1451 entités, 43842 observations mises à jour (feed ts=1785163404)
2026-07-27 16:44:34,576 [INFO] OK - 1446 entités, 43795 observations mises à jour (feed ts=1785163464)
2026-07-27 16:45:34,588 [INFO] OK - 1451 entités, 43907 observations mises à jour (feed ts=1785163524)
2026-07-27 16:46:34,621 [INFO] OK - 1436 entités, 43405 observations mises à jour (feed ts=1785163584)
2026-07-27 16:47:34,568 [INFO] OK - 1440 entités, 43470 observations mises à jour (feed ts=1785163644)
2026-07-27 16:48:34,575 [INFO] OK - 1438 entités, 43437 observations mises à jour (feed ts=1785163704)
2026-07-27 16:49:34,602 [INFO] OK - 1432 entités, 43475 observations mises à jour (feed ts=1785163764)
2026-07-27 16:50:34,608 [INFO] OK - 1441 entités, 43551 observations mises à jour (feed ts=1785163824)
2026-07-27 16:51:34,592 [INFO] OK - 1438 entités, 43281 observations mises à jour (feed ts=1785163884)
2026-07-27 16:52:34,582 [INFO] OK - 1438 entités, 43292 observations mises à jour (feed ts=1785163944)
2026-07-27 16:53:34,614 [INFO] OK - 1434 entités, 43239 observations mises à jour (feed ts=1785164004)
2026-07-27 16:54:34,570 [INFO] OK - 1426 entités, 43073 observations mises à jour (feed ts=1785164064)
2026-07-27 16:55:34,630 [INFO] OK - 1427 entités, 43071 observations mises à jour (feed ts=1785164124)
2026-07-27 16:56:34,586 [INFO] OK - 1425 entités, 42923 observations mises à jour (feed ts=1785164184)
2026-07-27 16:57:34,650 [INFO] OK - 1422 entités, 42877 observations mises à jour (feed ts=1785164244)
2026-07-27 16:58:34,587 [INFO] OK - 1430 entités, 43161 observations mises à jour (feed ts=1785164304)
2026-07-27 16:59:34,573 [INFO] OK - 1418 entités, 42910 observations mises à jour (feed ts=1785164364)
2026-07-27 17:00:34,600 [INFO] OK - 1421 entités, 42941 observations mises à jour (feed ts=1785164424)
2026-07-27 17:01:34,556 [INFO] OK - 1423 entités, 43023 observations mises à jour (feed ts=1785164484)
2026-07-27 17:02:34,593 [INFO] OK - 1415 entités, 42797 observations mises à jour (feed ts=1785164544)
2026-07-27 17:03:34,579 [INFO] OK - 1408 entités, 42733 observations mises à jour (feed ts=1785164604)
2026-07-27 17:04:34,589 [INFO] OK - 1408 entités, 42849 observations mises à jour (feed ts=1785164664)
2026-07-27 17:05:34,599 [INFO] OK - 1410 entités, 42891 observations mises à jour (feed ts=1785164724)
2026-07-27 17:06:34,601 [INFO] OK - 1410 entités, 42911 observations mises à jour (feed ts=1785164784)
2026-07-27 17:07:34,692 [INFO] OK - 1412 entités, 43074 observations mises à jour (feed ts=1785164844)
2026-07-27 17:08:34,591 [INFO] OK - 1406 entités, 42928 observations mises à jour (feed ts=1785164904)
2026-07-27 17:09:34,836 [INFO] OK - 1402 entités, 42851 observations mises à jour (feed ts=1785164964)
2026-07-27 17:10:34,579 [INFO] OK - 1404 entités, 42897 observations mises à jour (feed ts=1785165024)
2026-07-27 17:11:34,715 [INFO] OK - 1397 entités, 42640 observations mises à jour (feed ts=1785165084)
2026-07-27 17:12:34,539 [INFO] OK - 1393 entités, 42597 observations mises à jour (feed ts=1785165144)
2026-07-27 17:13:34,560 [INFO] OK - 1393 entités, 42565 observations mises à jour (feed ts=1785165204)
2026-07-27 17:14:34,535 [INFO] OK - 1389 entités, 42753 observations mises à jour (feed ts=1785165264)
2026-07-27 17:15:34,599 [INFO] OK - 1384 entités, 42664 observations mises à jour (feed ts=1785165324)
2026-07-27 17:16:34,614 [INFO] OK - 1379 entités, 42633 observations mises à jour (feed ts=1785165384)
2026-07-27 17:17:34,542 [INFO] OK - 1376 entités, 42615 observations mises à jour (feed ts=1785165444)
2026-07-27 17:18:34,533 [INFO] OK - 1371 entités, 42350 observations mises à jour (feed ts=1785165504)
2026-07-27 17:19:34,564 [INFO] OK - 1376 entités, 42468 observations mises à jour (feed ts=1785165564)
